valid_AphiaID,sciname,N,T_max,T_metric,error,error measure,Quality of UTNZ,REF_max,scientificName,phylum,class,order,family,records,fun_grp,fun_grp_larva,fun_grp_nauplius,species_id,n_obis_rec,iap_t_NA,iap_sst_NA,iap_sbt_NA,bo_sst_NA,bo_sbt_NA,iap_t_mean,iap_sst_mean,iap_sbt_mean,bo_sst_mean,bo_sbt_mean,iap_t_min,iap_sst_min,iap_sbt_min,bo_sst_min,bo_sbt_min,iap_t_max,iap_sst_max,iap_sbt_max,bo_sst_max,bo_sbt_max,iap_t_median,iap_sst_median,iap_sbt_median,bo_sst_median,bo_sbt_median,iap_t_sd,iap_sst_sd,iap_sbt_sd,bo_sst_sd,bo_sbt_sd,iap_t_mad,iap_sst_mad,iap_sbt_mad,bo_sst_mad,bo_sbt_mad,iap_t_q5,iap_sst_q5,iap_sbt_q5,bo_sst_q5,bo_sbt_q5,iap_t_q95,iap_sst_q95,iap_sbt_q95,bo_sst_q95,bo_sbt_q95,DemersPelag,bo_t_opt,bo_t_opt_sd,bo_t_opt95
159285,Cyprinodon variegatus,100,44.2,ctmax,0.29,SD,NA,Bennett_&_Beitinger_1997,Cyprinodon variegatus,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,12091,fish,NA,NA,159285,12111,11812,11812,11812,1302,1301,23.976625284622344,23.976625284622344,21.98347053759074,24.84810195232543,24.48889121760603,-1.75276517868042,-1.75276517868042,0.8552504777908325,11.340999603271484,-0.7808420062065125,30.58014488220215,30.58014488220215,30.23506736755371,28.280000686645508,27.54990005493164,23.8167724609375,23.8167724609375,22.32619285583496,24.70400047302246,24.502899169921875,4.1238969570142725,4.1238969570142725,4.5191333048235425,0.8404760503224,0.43238792728880043,4.5931196170806885,4.5931196170806885,3.4756836170196532,0.7205436904907226,0.11045241050720214,17.31601905822754,17.31601905822754,16.41221923828125,23.78700065612793,24.216699600219727,29.976388359069823,29.976388359069823,29.07725582122802,26.46500015258789,24.903200149536133,benthopelagic,24.48889121760603,0.43238792728880043,24.903200149536133
127183,Oncorhynchus keta,NA,23.2,LT50,NA,NA,NA,Brett&Alderdice1958_in_Brett_1970,Oncorhynchus keta,Chordata,Actinopterygii,Salmoniformes,Salmonidae,7725,fish,NA,NA,127183,7725,7674,7671,7671,87,87,9.487594987831864,10.197622537612915,5.7399878082452,5.5135742411988975,3.6156739195353715,4.788275718688965,4.871142387390137,1.7024061679840088,0.1459999978542328,-0.4851590096950531,15.52973461151123,15.52973461151123,13.782292366027832,11.368000030517578,11.162699699401855,9.362259864807129,9.982120513916016,6.0283379554748535,5.677000045776367,3.663450002670288,2.3739768254346565,2.0198976701425195,2.744203345243765,0.9234313147093995,1.1838145386134777,2.2752294485092164,1.9851204334259032,3.3378690742492676,0.5322537054061889,0.8904347200870514,5.874086141586304,7.493730759620666,1.7024061679840088,4.064000129699707,1.7324399948120117,13.696041584014893,13.655204343795775,8.622758865356445,7.066999912261963,5.450920104980469,benthopelagic,3.6156739195353715,1.1838145386134777,5.450920104980469
254569,Oncorhynchus nerka,NA,21.5,LT50,NA,NA,NA,Brett&Alderdice1958_in_Brett_1970,Oncorhynchus nerka,Chordata,Actinopterygii,Salmoniformes,Salmonidae,4943,fish,NA,NA,254569,4943,3016,3015,3015,4243,4243,12.401807222207964,12.413250691415858,7.074888672756951,9.972071383680616,7.601519052812032,3.2875120639801025,4.150008201599121,-0.8338407278060913,1.1449999809265137,0.8370100259780884,15.82015609741211,15.82015609741211,8.843171119689941,11.493000030517578,10.930000305175781,13.317556381225586,13.317556381225586,7.633941173553467,11.087500095367432,7.8149800300598145,2.2682418423117525,2.253470341426658,1.813090856156105,1.989573781590816,1.7936331614032344,2.184098221206665,2.184098221206665,0.35090888328552244,0.6011942038536071,1.0396288247108458,8.922083854675293,8.922083854675293,1.901944875717163,5.706400179862976,3.919179916381836,15.82015609741211,15.82015609741211,8.050599098205566,11.493000030517578,9.815799713134766,pelagic-oceanic,9.972071383680616,1.989573781590816,11.493000030517578
127184,Oncorhynchus kisutch,60,27.5,LT50,NA,NA,NA,Brett_1952,Oncorhynchus kisutch,Chordata,Actinopterygii,Salmoniformes,Salmonidae,2782,fish,NA,NA,127184,10579,707,704,704,1877,1877,11.74255366777968,11.745762985181205,5.3597493329712105,9.961156170139693,8.69636943523321,2.7306416034698486,2.7306416034698486,1.2905824184417725,3.430999994277954,0.7415260076522827,18.27629280090332,18.27629280090332,18.27629280090332,26.974000930786133,13.155699729919434,11.642443656921387,11.642443656921387,6.449298858642578,9.640000343322754,9.25864028930664,1.911909387643787,1.9095566330502511,2.532261603564103,1.2566010149042515,1.4432921738152265,2.044571424293518,2.044571424293518,1.8351179214477538,0.1438123809814453,1.3377498035430908,9.293818473815918,9.332132434844972,2.082767963409424,7.542249822616577,5.525330066680908,14.511012077331543,14.511012077331543,7.804245471954346,11.38700008392334,11.076600074768066,demersal,8.69636943523321,1.4432921738152265,11.076600074768066
158075,Oncorhynchus tshawytscha,60,28,LT50,NA,NA,NA,Brett_1952,Oncorhynchus tshawytscha,Chordata,Actinopterygii,Salmoniformes,Salmonidae,19384,fish,NA,NA,158075,35809,20060,20038,20038,20453,20453,10.394753145167877,10.415399308226117,6.4992629131851425,8.4919427486564,7.00333134146268,2.440307378768921,2.440307378768921,-0.008608498610556126,2.2119998931884766,0.4638639986515045,26.597898483276367,26.597898483276367,25.96467399597168,26.974000930786133,18.020599365234375,9.625343322753906,9.635250091552734,4.724708557128906,7.067999839782715,5.2464399337768555,2.184804970288711,2.1835267419912263,4.015513377863091,3.1625181884266107,3.699515714323203,1.5954574842453002,1.584581630516052,3.324950816631317,3.682778705406189,4.16741060757637,7.727624893188477,7.76426362991333,1.8948611617088318,4.480000019073486,2.200239896774292,15.175262451171875,15.175262451171875,14.647627830505371,12.256999969482422,11.763500213623047,benthopelagic,7.00333134146268,3.699515714323203,11.763500213623047
280865,Girella nigricans,12,34.5,LT50,NA,NA,NA,Doudoroff_1942,Girella nigricans,Chordata,Actinopterygii,Perciformes,Kyphosidae,210,fish,NA,NA,280865,130,118,118,118,24,24,14.912262201309204,15.051400899887085,4.620630343755086,19.104396199280362,14.618114062075344,13.627019882202148,14.00385570526123,2.8521881103515625,13.333999633789062,1.5769799947738647,16.586734771728516,16.43718147277832,7.569830417633057,26.20400047302246,23.42959976196289,14.501259803771973,14.83902645111084,4.956959247589111,18.116000175476074,15.356299877166748,0.9492998227058135,0.7937563570243363,1.4801983451967293,3.1217238998573755,4.952367442807016,0.5096197134017945,0.5037378164291382,0.8783602177619934,2.0074419496536255,4.7793092276573175,13.91879825592041,14.275228118896486,2.8521881103515625,15.95199966430664,6.19911515712738,16.586734771728516,16.43718147277832,6.458596491813658,24.76550054550171,23.006399154663086,benthopelagic,14.618114062075344,4.952367442807016,23.006399154663086
279812,Atherinops affinis,13,33.4,LT50,NA,NA,NA,Doudoroff_1945,Atherinops affinis,Chordata,Actinopterygii,Atheriniformes,Atherinidae,226,fish,NA,NA,279812,226,209,209,209,62,62,12.97263106177835,13.733703164493337,7.477825529435101,19.749262187539077,17.306156194064677,9.734236717224121,11.615849494934082,2.0135819911956787,11.79800033569336,1.8526500463485718,16.842193603515625,16.880521774291992,14.589262008666992,25.479999542236328,24.402299880981445,12.945913314819336,13.730511665344238,8.034035682678223,21.15999984741211,18.05940055847168,1.6552716156999345,1.5263092140544674,2.793576554994677,3.576379119593075,4.387853988942371,1.590829732131958,1.6041728719711303,0.3192010754585266,2.9904044940948484,4.136155606842041,11.23952693939209,11.776723670959472,2.0231133937835692,12.597999572753906,10.200609731674195,15.559170532226561,16.8498592376709,9.597913742065426,23.55335054397583,23.211724472045898,pelagic-neritic,19.749262187539077,3.576379119593075,23.55335054397583
276032,Fundulus parvipinnis,13,36.1,LT50,NA,NA,NA,Doudoroff_1945,Fundulus parvipinnis,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,97,fish,NA,NA,276032,95,93,93,93,31,31,16.04030418395996,16.04030418395996,5.864330530166626,21.397187516093254,18.695669766515493,15.238414764404297,15.238414764404297,4.277185440063477,13.300999641418457,1.413100004196167,16.842193603515625,16.842193603515625,7.451475620269775,30.034000396728516,22.039100646972656,16.04030418395996,16.04030418395996,5.864330530166626,22.100000381469727,19.643199920654297,1.134042892659109,1.134042892659109,2.244562111877742,2.388488803333811,3.656611285664753,1.1888812534332274,1.1888812534332274,2.353101310586929,0.9310731845855712,2.378386044502258,15.318603706359863,15.318603706359863,4.435899949073792,16.381999969482422,12.357644605636597,16.76200466156006,16.76200466156006,7.29276111125946,23.109650135040283,21.732900619506836,benthopelagic,18.695669766515493,3.656611285664753,21.732900619506836
127186,Salmo salar,4,31,ctmax,0.26,SE,NA,Elliot_1991,Salmo salar,Chordata,Actinopterygii,Salmoniformes,Salmonidae,8575,fish,NA,NA,127186,8575,7908,7830,7830,3398,3398,8.385081007830921,8.057819870814381,5.935859904913294,6.919101572800079,5.045850053492927,-4.8947367668151855,-4.8947367668151855,-2.890988349914551,0.3319999873638153,-0.48559001088142395,17.172931671142578,19.157751083374023,19.151002883911133,23.839000701904297,20.678800582885742,7.206143379211426,7.206143379211426,6.615173816680908,6.84499979019165,3.935260057449341,3.811238340773194,4.066892712421115,3.1884228640651835,3.5845086638485815,2.9305811847955425,2.752941991710663,3.419840236759186,2.9828591231346127,3.50634866065979,2.087204219484329,4.745209693908691,2.305654335021973,1.5711172819137573,2.5869998931884766,2.5274600982666016,14.677803993225098,15.097240066528311,12.477691650390625,17.01300048828125,13.243800163269043,benthopelagic,5.045850053492927,2.9305811847955425,13.243800163269043
319881,Apogon novemfasciatus,7,40.1,ctmax,NA,NA,NA,Eme_&_Bennett_2009,Ostorhinchus novemfasciatus,Chordata,Actinopterygii,Perciformes,Apogonidae,413,fish,NA,NA,319881,407,192,191,191,21,21,27.306680856749068,27.30937726409347,10.12562863252781,28.17819163465747,18.40667662873787,18.804637908935547,18.804637908935547,2.0923655033111572,22.604999542236328,1.106410026550293,29.869123458862305,29.869123458862305,28.988845825195312,30.944000244140625,29.27429962158203,27.932058334350586,27.937034606933594,3.3829833269119263,28.525999069213867,23.864200592041016,2.1907598818750444,2.1976336848586535,9.489334821909527,1.5847108545965662,9.576173607947881,1.5954532424926757,1.65543021068573,1.7972339450597763,1.4581392265319824,7.124634345245361,22.692467117309572,22.70411205291748,2.1707656383514404,25.222000122070312,1.8331100046634674,29.40613250732422,29.40562343597412,28.149627685546875,30.323999404907227,28.88657522201538,reef-associated,28.17819163465747,1.5847108545965662,30.323999404907227
