Species,Family,n_studies,mean_CT_max,min_CT_max,max_CT_max,wt_mean_CT_max,CT_max,aphiaID,valid_AphiaID,DemersPelag,DepthRangeShallow,DepthRangeDeep,class,order,records,n_obis_rec,iap_t_NA,iap_sst_NA,iap_sbt_NA,bo_sst_NA,bo_sbt_NA,iap_t_mean,iap_sst_mean,iap_sbt_mean,bo_sst_mean,bo_sbt_mean,iap_t_min,iap_sst_min,iap_sbt_min,bo_sst_min,bo_sbt_min,iap_t_max,iap_sst_max,iap_sbt_max,bo_sst_max,bo_sbt_max,iap_t_median,iap_sst_median,iap_sbt_median,bo_sst_median,bo_sbt_median,iap_t_sd,iap_sst_sd,iap_sbt_sd,bo_sst_sd,bo_sbt_sd,iap_t_mad,iap_sst_mad,iap_sbt_mad,bo_sst_mad,bo_sbt_mad,iap_t_q5,iap_sst_q5,iap_sbt_q5,bo_sst_q5,bo_sbt_q5,iap_t_q95,iap_sst_q95,iap_sbt_q95,bo_sst_q95,bo_sbt_q95,bo_t_opt,bo_t_opt_sd,bo_t_opt95,habitat
Lutjanus malabaricus,Lutjanidae,5,36.18,34.5,37.6,NA,36.18,218481,218481,reef-associated,12,100,Actinopterygii,Perciformes,2015,1709,987,355,355,34,34,25.972404102209204,26.858102532221963,25.137969960490217,27.799533151655055,25.51114199076126,8.5694122314453125,18.80999755859375,2.2411625385284424,21.277999877929688,0.7292029857635498,31.30635643005371,30.69442367553711,31.236133575439453,30.86400032043457,29.375600814819336,26.04630947113037,26.879039764404297,26.0006046295166,28.038000106811523,26.013999938964844,2.3189082898604414,2.0751985177652705,4.242294326935851,1.3149358415209949,3.4804737209325785,2.366008610343933,2.366205144882202,2.475040033721924,1.054129256057739,1.696983833312988,22.56873321533203,23.40730257034302,19.89847640991211,25.23930034637451,21.96995964050293,29.56672487258911,29.988932800292968,29.327992534637445,29.43159999847412,27.95102005004883,27.799533151655055,1.3149358415209949,29.43159999847412,reef-associated
Lutjanus vitta,Lutjanidae,5,36.26,34.5,37.9,NA,36.26,218483,218483,reef-associated,10,72,Actinopterygii,Perciformes,3293,2495,1492,655,655,20,20,26.230772000367,26.671278795988663,25.420017019043797,27.61614710258715,25.981306826755254,8.5694122314453125,18.348995208740234,2.2188124656677246,18.722999572753906,0.9990969896316528,31.30635643005371,30.728635787963867,31.231159210205078,30.940000534057617,29.84869956970215,26.09273910522461,26.585817337036133,25.90102481842041,27.538000106811523,26.13360023498535,2.2359880074953185,2.0434920880689744,3.5774421010782027,1.004215340593079,2.3161646511943728,2.5604067192077635,2.6493760665893555,2.419531044960022,1.0289247619628905,1.0025354049682618,23.52521343231201,23.539852142333984,22.239059448242188,25.98900032043457,24.39539909362793,30.007384872436525,30.018634796142578,29.230064392089844,29.3616003036499,27.850099563598633,27.61614710258715,1.004215340593079,29.3616003036499,reef-associated
Lycodichthys dearborni,Zoarcidae,1,15.37,15.37,15.37,NA,15.37,234713,234713,bathydemersal,550,588,Actinopterygii,Perciformes,29,28,26,25,25,12,12,-1.2720038294792175,-0.9971522490183512,-1.2890241742134094,-1.1790624856948853,-1.2359594888985157,-1.3129452466964722,-1.3129452466964722,-1.8301512002944946,-1.3669999837875366,-1.7376999855041504,-1.231062412261963,-0.6888943910598755,-0.9310281872749329,-0.6460000276565552,1.5194000005722046,-1.2720038294792175,-0.989617109298706,-1.1058931350708008,-1.2979999780654907,-1.7376999855041504,0.05789990749141685,0.3120936579828851,0.4767161432744149,0.22090070786720398,0.9515181687461263,0.06069974516630172,0.4458515020608902,0.25925477160215377,0,0,-1.3088511049747467,-1.2806124329566955,-1.7577253937721251,-1.3152499794960022,-1.7376999855041504,-1.2351565539836884,-0.7189666628837585,-0.9485146820545196,-0.7307500094175339,0.6992314904928207,-1.2359594888985157,0.9515181687461263,0.6992314904928207,demersal
Malacoctenus gigas,Labrisomidae,1,34.5,34.5,34.5,34.5,34.5,281497,281497,reef-associated,NA,NA,Actinopterygii,Perciformes,80,80,80,80,80,15,15,NaN,NaN,NaN,23.835753954373875,21.821627675569975,Inf,Inf,Inf,22.43600082397461,11.77810001373291,-Inf,-Inf,-Inf,25.235000610351562,24.483699798583984,NA,NA,NA,23.841999053955078,23.294700622558594,NA,NA,NA,0.604702333420265,3.326839596590196,NA,NA,NA,0.6538294052124023,0.8201739761352539,NA,NA,NA,22.940000534057617,13.393799781799316,NA,NA,NA,24.94580078125,24.340200424194336,23.835753954373875,0.604702333420265,24.94580078125,reef-associated
Malacoctenus zonifer,Labrisomidae,1,35.24,35.24,35.24,35.24,35.24,281506,281506,demersal,NA,NA,Actinopterygii,Perciformes,210,207,176,176,176,24,24,27.179419363698653,27.19004298794654,9.534833031315957,27.855972675677858,21.906813202008525,22.705400466918945,22.705400466918945,2.0819809436798096,21.954999923706055,1.5219199657440186,29.560611724853516,29.929845809936523,15.065837860107422,30.141000747680664,29.09869956970215,27.440576553344727,27.568763732910156,11.692626953125,28.46299934387207,23.831499099731445,1.7625207693179388,1.7738029135557523,5.153300484648186,1.6684924931334013,6.842457907543272,1.5240815128326415,1.6742508670806884,3.455525394630432,0.7902272026062012,6.349977202606201,23.320554733276367,23.320554733276367,2.1932878494262695,24.167700576782227,8.133660078048706,29.253585815429688,29.253585815429688,14.383203506469727,29.58679962158203,28.389699935913086,21.906813202008525,6.842457907543272,28.389699935913086,demersal
Micrometrus minimus,Embiotocidae,1,31.1,31.1,31.1,31.1,31.1,281562,281562,demersal,NA,9,Actinopterygii,Perciformes,24,23,20,20,20,3,3,12.116399765014648,12.116399765014648,8.040064334869385,14.170900011062622,11.795240008831025,11.615849494934082,11.615849494934082,7.803035259246826,12.102999687194824,1.1338499784469604,12.916407585144043,12.916407585144043,8.350076675415039,17.134000778198242,17.300100326538086,11.81694221496582,11.81694221496582,7.967081069946289,13.313499927520752,12.468799591064453,0.7000849624963958,0.7000849624963958,0.28072850847385816,1.6063817028186984,3.9856944560239134,0.2981400667190552,0.2981400667190552,0.24321431894302367,1.5122519717216492,0.14040342578887938,11.635958766937256,11.635958766937256,7.819439840316773,12.46495018005371,1.1338499784469604,12.80646104812622,12.80646104812622,8.311777114868164,16.564000415802003,17.300100326538086,11.795240008831025,3.9856944560239134,17.300100326538086,demersal
Monacanthus chinensis,Monacanthidae,6,34.166666666666664,32.5,36.9,NA,34.166666666666664,276256,276256,reef-associated,5,50,Actinopterygii,Tetraodontiformes,1130,1169,545,518,518,293,293,22.599997411935757,22.81738804086196,20.821187459561866,23.752303648212727,22.836791844604768,13.159158706665039,13.159158706665039,1.96773099899292,17.018999099731445,0.8528710007667542,31.59161376953125,31.59161376953125,31.527761459350586,30.58099937438965,29.830400466918945,21.85165023803711,22.48905372619629,21.084379196166992,23.27549934387207,23.07110023498535,4.2368035648129965,4.2567232938133905,6.032076133308237,3.49394453477842,5.099057465937162,5.271884872055053,4.8840274955749505,4.226677435684204,4.892580282783508,3.4756595804214476,16.525131225585938,16.626233100891113,5.16667103767395,18.886999130249023,16.51237440109253,29.902394008636477,29.794800758361816,29.230064392089844,29.625,28.624625205993652,23.752303648212727,3.49394453477842,29.625,reef-associated
Moolgarda engeli,Mugilidae,5,39.62,38.4,40.8,39.9644668206294,39.9644668206294,309763,1043470,reef-associated,NA,NA,Actinopterygii,Perciformes,75,78,39,39,39,12,12,27.360966266729893,27.360966266729893,8.741009742785723,28.09695446130001,19.49208222916632,24.599853515625,24.599853515625,2.094817876815796,23.069000244140625,1.974269986152649,29.371789932250977,29.371789932250977,28.419586181640625,31.05699920654297,29.26289939880371,27.467182159423828,27.467182159423828,2.480644941329956,28.49650001525879,25.391599655151367,1.1911991207119281,1.1911991207119281,10.059002239566235,1.6891454152792695,10.331623747272475,1.478324313354492,1.478324313354492,0.519620705652237,1.4774109226226806,4.827790339279175,25.76443748474121,25.76443748474121,2.1159271717071535,25.462749481201172,4.1090497970581055,29.028328514099123,29.028328514099123,27.5521089553833,30.032499313354492,29.09410047531128,28.09695446130001,1.6891454152792695,30.032499313354492,reef-associated
Mugil curema,Mugilidae,1,34.71,34.71,34.71,34.71,34.71,159416,159416,reef-associated,0,300,Actinopterygii,Perciformes,8672,8609,5330,5318,5318,735,735,27.763919138697524,27.754054911627083,26.098242006922014,24.89010275866678,24.058866260815975,10.02389907836914,10.02389907836914,2.0819809436798096,7.257999897003174,1.3879499435424805,30.639265060424805,30.639265060424805,30.2995662689209,31.33300018310547,29.328399658203125,28.67535400390625,28.650236129760742,27.685184478759766,24.594999313354492,24.458499908447266,2.498064187057222,2.4983822327710885,4.829521306325728,1.6245639151642934,2.8208861435149686,1.468853893661499,1.5060936538696288,1.8200568717956542,0.7012691665649413,0.13817933349609374,22.213245391845703,22.260087966918945,16.350150108337402,23.73200035095215,22.91159992218018,30.036081314086914,30.036081314086914,29.461566925048828,28.082000732421875,25.026899337768555,24.89010275866678,1.6245639151642934,28.082000732421875,reef-associated
Mullus barbatus barbatus,Mullidae,1,32,32,32,NA,32,293632,293632,demersal,10,328,Actinopterygii,Perciformes,3963,3219,1255,794,794,351,351,17.932046462222175,19.693928063579442,13.65184456608959,18.02265692987535,14.02382091473336,4.742363452911377,2.4724321365356445,2.4724321365356445,10.081000328063965,2.0868499279022217,29.282127380371094,29.06424331665039,26.840761184692383,28.065000534057617,25.01140022277832,15.64901351928711,21.684980392456055,13.246661186218262,18.611000061035156,13.65820026397705,4.553640046001107,4.633756842076375,2.3689085687291316,2.79542524961192,2.402643438131319,3.6479433119773863,3.3645610095977783,0.3950414915084839,1.43812098197937,0.8645045328140258,13.051123285293578,11.818704414367675,11.851338386535645,10.89799976348877,9.694374608993531,23.954345703125,24.49186630249023,17.358583450317383,21.23844985961914,19.020000457763672,14.02382091473336,2.402643438131319,19.020000457763672,demersal
